"Group","DistanceToCentroid"
"LT_Quina",2.13773035827009
"LT_Quina",1.80841036587336
"LT_Quina",1.85924533438206
"LT_Quina",2.33095800040231
"LT_Quina",2.49623740009057
"LT_Quina",3.03173923143867
"LT_Quina",2.07745114611054
"LT_Quina",1.1819025390164
"LT_Quina",1.51124391986666
"LT_Quina",1.33063638869902
"LT_Quina",2.10701782344013
"LT_Quina",2.29570826498514
"LT_Quina",2.78705002837688
"LT_Quina",1.62391715583617
"LT_Quina",2.07801250733041
"LT_Quina",1.31000552466387
"LT_Quina",1.80324582740173
"LT_Quina",2.01957393833657
"LT_Quina",2.30545413486713
"LT_Ordinary",2.06334097294067
"LT_Ordinary",1.11950163811048
"LT_Ordinary",1.70478337016921
"LT_Ordinary",1.1426896119708
"LT_Ordinary",1.412926612616
"LT_Ordinary",1.37684030522973
"LT_Ordinary",2.53951270280747
"LT_Ordinary",0.87823072864282
"LT_Ordinary",1.12119008579035
"LT_Ordinary",1.32043180154536
"LT_Ordinary",1.21706641481282
"LT_Ordinary",1.69704936471449
"LT_Ordinary",1.20297091595744
"LT_Ordinary",0.946101823678614
"LT_Ordinary",1.07328806971656
"LT_Ordinary",1.97737817928694
"LT_Ordinary",1.96890995791473
"LT_Ordinary",2.24730627941482
"LT_Ordinary",2.30394600485746
"LT_Ordinary",1.84706063282606
"LT_Ordinary",1.82610594640837
"LT_Ordinary",0.931473812133581
"LT_Ordinary",2.64549278585827
"LT_Ordinary",2.04913446716346
"LT_Ordinary",1.51380484571744
"LT_Ordinary",0.725981389661458
"LT_Ordinary",3.56414718137024
"LT_Ordinary",2.45006218254349
"LT_Ordinary",1.16647354147192
"LT_Ordinary",1.63983098849041
"LT_Ordinary",1.10060201579146
"LT_Ordinary",1.41340658619882
"LT_Ordinary",1.46105326908178
"LT_Ordinary",1.48182042142984
"LT_Ordinary",1.1587487366973
"LT_Ordinary",1.15154589514737
"LT_Ordinary",2.1565705006352
"LT_Ordinary",2.08523630376244
"LT_Ordinary",2.29384311654983
"LT_Ordinary",2.3890592525546
"LT_Ordinary",2.35822537268657
"LT_Ordinary",1.46442696050413
"LT_Ordinary",1.32506783907922
"LT_Ordinary",2.06940664526198
"LT_Ordinary",3.40095248724162
